Date	Item	# of 1	# of 2	# of 3	# of 4	# of 5
2009-12-11	Friday	MjAwOTA3MjQwMDE2NDk=	4	3	1	4	1
2009-12-18	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	2	2	1
2009-01-02	Friday	MjAwOTA5MDIwMDkzNTk=	1	1	1	0	2
2009-01-09	Friday	MjAwOTA5MDIwMDkzNTk=	4	2	2	3	1
2009-01-16	Friday	MjAwOTA5MDIwMDkzNTk=	1	6	4	1	2
2009-01-23	Friday	MjAwOTA5MDIwMDkzNTk=	2	1	1	3	5
2009-01-30	Friday	MjAwOTA5MDIwMDkzNTk=	3	2	5	5	1
2009-02-06	Friday	MjAwOTA5MDIwMDkzNTk=	1	0	3	0	2
2009-02-13	Friday	MjAwOTA5MDIwMDkzNTk=	4	5	2	0	3
2009-02-20	Friday	MjAwOTA5MDIwMDkzNTk=	0	4	5	0	1
2009-02-27	Friday	MjAwOTA5MDIwMDkzNTk=	0	1	5	2	4
2009-03-06	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	0	0	3
2009-03-13	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	1	4	2
2009-03-20	Friday	MjAwOTA5MDIwMDkzNTk=	1	3	5	0	2
2009-03-27	Friday	MjAwOTA5MDIwMDkzNTk=	3	0	1	2	2
2009-04-03	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	1	2	2
2009-04-17	Friday	MjAwOTA5MDIwMDkzNTk=	3	1	1	1	2
2009-04-24	Friday	MjAwOTA5MDIwMDkzNTk=	5	4	1	3	1
2009-05-01	Friday	MjAwOTA5MDIwMDkzNTk=	2	4	0	1	2
2009-05-08	Friday	MjAwOTA5MDIwMDkzNTk=	2	4	2	2	4
2009-05-15	Friday	MjAwOTA5MDIwMDkzNTk=	6	5	3	2	7
2009-05-22	Friday	MjAwOTA5MDIwMDkzNTk=	1	4	1	4	2
2009-05-29	Friday	MjAwOTA5MDIwMDkzNTk=	1	4	0	1	2
2009-06-05	Friday	MjAwOTA5MDIwMDkzNTk=	0	5	1	2	3
2009-06-12	Friday	MjAwOTA5MDIwMDkzNTk=	1	1	4	3	2
2009-06-19	Friday	MjAwOTA5MDIwMDkzNTk=	3	1	0	1	0
2009-06-26	Friday	MjAwOTA5MDIwMDkzNTk=	4	3	1	1	1
2009-07-03	Friday	MjAwOTA5MDIwMDkzNTk=	1	1	2	2	0
2009-07-10	Friday	MjAwOTA5MDIwMDkzNTk=	2	1	1	3	3
2009-07-17	Friday	MjAwOTA5MDIwMDkzNTk=	1	4	1	2	2
2009-07-24	Friday	MjAwOTA5MDIwMDkzNTk=	4	2	0	2	2
2009-07-31	Friday	MjAwOTA5MDIwMDkzNTk=	5	4	3	4	1
2009-08-07	Friday	MjAwOTA5MDIwMDkzNTk=	1	0	3	4	1
2009-08-14	Friday	MjAwOTA5MDIwMDkzNTk=	3	4	4	2	5
2009-08-21	Friday	MjAwOTA5MDIwMDkzNTk=	0	1	1	1	1
2009-08-28	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	1	2	1
2009-09-04	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	1	1	1
2009-09-11	Friday	MjAwOTA5MDIwMDkzNTk=	1	1	1	4	1
2009-09-18	Friday	MjAwOTA5MDIwMDkzNTk=	2	0	2	1	1
2009-09-25	Friday	MjAwOTA5MDIwMDkzNTk=	3	2	3	0	2
2009-10-02	Friday	MjAwOTA5MDIwMDkzNTk=	2	3	1	2	2
2009-10-09	Friday	MjAwOTA5MDIwMDkzNTk=	1	0	1	0	1
2009-10-16	Friday	MjAwOTA5MDIwMDkzNTk=	0	2	1	3	3
2009-10-23	Friday	MjAwOTA5MDIwMDkzNTk=	4	1	0	2	2
2009-10-30	Friday	MjAwOTA5MDIwMDkzNTk=	3	4	2	3	3
2009-11-06	Friday	MjAwOTA5MDIwMDkzNTk=	1	0	2	1	3
2009-11-13	Friday	MjAwOTA5MDIwMDkzNTk=	2	0	0	0	1
2009-11-20	Friday	MjAwOTA5MDIwMDkzNTk=	0	0	0	1	0
2009-11-27	Friday	MjAwOTA5MDIwMDkzNTk=	0	0	0	2	0
2009-12-04	Friday	MjAwOTA5MDIwMDkzNTk=	1	1	1	1	2
2009-12-11	Friday	MjAwOTA5MDIwMDkzNTk=	2	0	2	5	0
2009-12-18	Friday	MjAwOTA5MDIwMDkzNTk=	1	2	0	4	2
2009-01-02	Friday	MjAwOTA0MTIwMDE0MTA=	1	5	2	1	1
2009-01-09	Friday	MjAwOTA0MTIwMDE0MTA=	2	2	0	6	5
2009-01-16	Friday	MjAwOTA0MTIwMDE0MTA=	0	2	2	0	1
2009-01-23	Friday	MjAwOTA0MTIwMDE0MTA=	2	0	5	1	0
2009-01-30	Friday	MjAwOTA0MTIwMDE0MTA=	5	4	6	2	2
2009-02-06	Friday	MjAwOTA0MTIwMDE0MTA=	4	0	6	1	8
2009-02-13	Friday	MjAwOTA0MTIwMDE0MTA=	1	0	4	4	3
2009-02-20	Friday	MjAwOTA0MTIwMDE0MTA=	3	0	4	2	4
2009-02-27	Friday	MjAwOTA0MTIwMDE0MTA=	2	3	1	3	5
2009-03-06	Friday	MjAwOTA0MTIwMDE0MTA=	4	2	1	3	2
2009-03-13	Friday	MjAwOTA0MTIwMDE0MTA=	3	1	1	1	2
2009-03-20	Friday	MjAwOTA0MTIwMDE0MTA=	1	0	3	1	4
2009-03-27	Friday	MjAwOTA0MTIwMDE0MTA=	1	2	2	3	1
2009-04-03	Friday	MjAwOTA0MTIwMDE0MTA=	1	5	2	1	0
2009-04-10	Friday	MjAwOTA0MTIwMDE0MTA=	0	0	1	0	2
2009-04-17	Friday	MjAwOTA0MTIwMDE0MTA=	4	2	3	2	2
2009-04-24	Friday	MjAwOTA0MTIwMDE0MTA=	3	1	3	7	5
2009-05-01	Friday	MjAwOTA0MTIwMDE0MTA=	0	0	4	0	4
2009-05-08	Friday	MjAwOTA0MTIwMDE0MTA=	4	2	4	1	4
2009-05-15	Friday	MjAwOTA0MTIwMDE0MTA=	4	2	6	1	3
2009-05-22	Friday	MjAwOTA0MTIwMDE0MTA=	0	7	1	2	3
2009-05-29	Friday	MjAwOTA0MTIwMDE0MTA=	1	2	0	2	1
2009-06-05	Friday	MjAwOTA0MTIwMDE0MTA=	1	3	2	0	2
2009-06-12	Friday	MjAwOTA0MTIwMDE0MTA=	1	3	1	0	3
2009-06-19	Friday	MjAwOTA0MTIwMDE0MTA=	2	0	2	3	3
2009-06-26	Friday	MjAwOTA0MTIwMDE0MTA=	1	2	3	2	2
2009-07-03	Friday	MjAwOTA0MTIwMDE0MTA=	1	0	2	3	1
2009-07-10	Friday	MjAwOTA0MTIwMDE0MTA=	2	1	2	2	2
2009-07-17	Friday	MjAwOTA0MTIwMDE0MTA=	4	0	3	3	4
2009-07-24	Friday	MjAwOTA0MTIwMDE0MTA=	5	2	3	5	2
2009-07-31	Friday	MjAwOTA0MTIwMDE0MTA=	6	2	4	2	5
2009-08-07	Friday	MjAwOTA0MTIwMDE0MTA=	4	2	4	5	6
2009-08-14	Friday	MjAwOTA0MTIwMDE0MTA=	1	5	3	4	3
2009-08-21	Friday	MjAwOTA0MTIwMDE0MTA=	1	3	5	3	2
2009-08-28	Friday	MjAwOTA0MTIwMDE0MTA=	2	1	3	4	1
2009-09-04	Friday	MjAwOTA0MTIwMDE0MTA=	1	2	1	1	4
2009-09-11	Friday	MjAwOTA0MTIwMDE0MTA=	2	0	1	0	4
2009-09-18	Friday	MjAwOTA0MTIwMDE0MTA=	3	1	4	2	2
2009-09-25	Friday	MjAwOTA0MTIwMDE0MTA=	2	1	4	2	0
2009-10-02	Friday	MjAwOTA0MTIwMDE0MTA=	0	2	3	1	1
2009-10-09	Friday	MjAwOTA0MTIwMDE0MTA=	1	0	0	1	0
2009-10-16	Friday	MjAwOTA0MTIwMDE0MTA=	2	0	3	4	3
2009-10-23	Friday	MjAwOTA0MTIwMDE0MTA=	4	3	3	1	5
2009-10-30	Friday	MjAwOTA0MTIwMDE0MTA=	5	4	3	4	4
2009-11-06	Friday	MjAwOTA0MTIwMDE0MTA=	2	2	1	3	1
2009-11-13	Friday	MjAwOTA0MTIwMDE0MTA=	2	1	3	0	1
2009-11-20	Friday	MjAwOTA0MTIwMDE0MTA=	0	2	1	2	1
2009-11-27	Friday	MjAwOTA0MTIwMDE0MTA=	0	0	1	0	2
2009-12-04	Friday	MjAwOTA0MTIwMDE0MTA=	0	0	3	1	1
2009-12-11	Friday	MjAwOTA0MTIwMDE0MTA=	1	3	1	0	3
2009-12-18	Friday	MjAwOTA0MTIwMDE0MTA=	1	1	3	1	3
2009-01-02	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	2	1	0
2009-01-09	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	1	2	4
2009-01-16	Friday	MjAwOTA3MjMwMDU0MDA=	2	4	2	2	4
2009-01-23	Friday	MjAwOTA3MjMwMDU0MDA=	4	2	3	3	5
2009-01-30	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	4	3	4
2009-02-06	Friday	MjAwOTA3MjMwMDU0MDA=	1	2	3	2	2
2009-02-13	Friday	MjAwOTA3MjMwMDU0MDA=	2	3	1	1	6
2009-02-20	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	1	3	0
2009-02-27	Friday	MjAwOTA3MjMwMDU0MDA=	4	2	1	2	0
2009-03-06	Friday	MjAwOTA3MjMwMDU0MDA=	0	4	2	4	4
2009-03-13	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	2	5	3
2009-03-20	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	0	0	1
2009-03-27	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	3	1	2
2009-04-03	Friday	MjAwOTA3MjMwMDU0MDA=	0	0	1	2	1
2009-04-10	Friday	MjAwOTA3MjMwMDU0MDA=	2	0	1	1	0
2009-04-17	Friday	MjAwOTA3MjMwMDU0MDA=	1	2	1	2	2
2009-04-24	Friday	MjAwOTA3MjMwMDU0MDA=	4	0	0	2	2
2009-05-01	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	3	1	1
2009-05-08	Friday	MjAwOTA3MjMwMDU0MDA=	4	3	4	1	3
2009-05-15	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	5	3	3
2009-05-22	Friday	MjAwOTA3MjMwMDU0MDA=	1	3	2	1	1
2009-05-29	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	3	4	4
2009-06-05	Friday	MjAwOTA3MjMwMDU0MDA=	1	0	2	2	1
2009-06-12	Friday	MjAwOTA3MjMwMDU0MDA=	1	1	1	5	1
2009-06-19	Friday	MjAwOTA3MjMwMDU0MDA=	2	3	1	0	2
2009-06-26	Friday	MjAwOTA3MjMwMDU0MDA=	1	3	1	3	4
2009-07-03	Friday	MjAwOTA3MjMwMDU0MDA=	1	2	1	1	1
2009-07-10	Friday	MjAwOTA3MjMwMDU0MDA=	2	6	2	1	1
2009-07-17	Friday	MjAwOTA3MjMwMDU0MDA=	1	1	2	2	1
2009-07-24	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	4	1	2
2009-07-31	Friday	MjAwOTA3MjMwMDU0MDA=	5	3	1	8	3
2009-08-07	Friday	MjAwOTA3MjMwMDU0MDA=	3	3	2	5	2
2009-08-14	Friday	MjAwOTA3MjMwMDU0MDA=	3	3	2	1	4
2009-08-21	Friday	MjAwOTA3MjMwMDU0MDA=	2	1	1	0	6
2009-08-28	Friday	MjAwOTA3MjMwMDU0MDA=	1	0	4	3	0
2009-09-04	Friday	MjAwOTA3MjMwMDU0MDA=	1	3	0	2	4
2009-09-11	Friday	MjAwOTA3MjMwMDU0MDA=	2	0	0	0	4
2009-09-18	Friday	MjAwOTA3MjMwMDU0MDA=	0	2	0	2	1
2009-09-25	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	1	2	1
2009-10-02	Friday	MjAwOTA3MjMwMDU0MDA=	2	0	4	3	1
2009-10-09	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	2	1	3
2009-10-16	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	1	4	4
2009-10-23	Friday	MjAwOTA3MjMwMDU0MDA=	4	0	3	1	1
2009-10-30	Friday	MjAwOTA3MjMwMDU0MDA=	5	4	7	3	2
2009-11-06	Friday	MjAwOTA3MjMwMDU0MDA=	0	0	2	0	2
2009-11-13	Friday	MjAwOTA3MjMwMDU0MDA=	2	3	4	1	1
2009-11-20	Friday	MjAwOTA3MjMwMDU0MDA=	0	1	1	0	0
2009-11-27	Friday	MjAwOTA3MjMwMDU0MDA=	0	0	3	0	0
2009-12-04	Friday	MjAwOTA3MjMwMDU0MDA=	1	3	0	2	4
2009-12-11	Friday	MjAwOTA3MjMwMDU0MDA=	3	2	2	4	3
2009-12-18	Friday	MjAwOTA3MjMwMDU0MDA=	2	2	2	3	2
2009-01-02	Friday	MjAwOTEwMjkwMjAzMTk=	1	2	0	1	1
2009-01-09	Friday	MjAwOTEwMjkwMjAzMTk=	3	2	1	3	3
2009-01-16	Friday	MjAwOTEwMjkwMjAzMTk=	1	3	1	2	1
2009-01-23	Friday	MjAwOTEwMjkwMjAzMTk=	2	0	3	1	5
2009-01-30	Friday	MjAwOTEwMjkwMjAzMTk=	3	5	3	5	3
2009-02-06	Friday	MjAwOTEwMjkwMjAzMTk=	3	6	0	4	3
2009-02-13	Friday	MjAwOTEwMjkwMjAzMTk=	2	5	4	1	4
2009-02-20	Friday	MjAwOTEwMjkwMjAzMTk=	2	1	4	2	4
2009-02-27	Friday	MjAwOTEwMjkwMjAzMTk=	5	4	3	2	3
2009-03-06	Friday	MjAwOTEwMjkwMjAzMTk=	3	2	1	3	3
2009-03-13	Friday	MjAwOTEwMjkwMjAzMTk=	2	1	2	2	0
2009-03-20	Friday	MjAwOTEwMjkwMjAzMTk=	3	3	2	1	1
2009-03-27	Friday	MjAwOTEwMjkwMjAzMTk=	0	3	1	2	0
2009-04-03	Friday	MjAwOTEwMjkwMjAzMTk=	0	2	0	2	0
2009-04-10	Friday	MjAwOTEwMjkwMjAzMTk=	0	3	0	0	1
2009-04-17	Friday	MjAwOTEwMjkwMjAzMTk=	2	2	1	3	4
2009-04-24	Friday	MjAwOTEwMjkwMjAzMTk=	4	3	5	5	3
2009-05-01	Friday	MjAwOTEwMjkwMjAzMTk=	0	1	1	0	2
2009-05-08	Friday	MjAwOTEwMjkwMjAzMTk=	2	2	4	2	6
2009-05-15	Friday	MjAwOTEwMjkwMjAzMTk=	5	5	4	1	1
2009-05-22	Friday	MjAwOTEwMjkwMjAzMTk=	1	3	3	2	3
2009-05-29	Friday	MjAwOTEwMjkwMjAzMTk=	0	4	3	1	0
2009-06-05	Friday	MjAwOTEwMjkwMjAzMTk=	1	3	1	2	2
2009-06-12	Friday	MjAwOTEwMjkwMjAzMTk=	4	1	5	2	6
2009-06-19	Friday	MjAwOTEwMjkwMjAzMTk=	1	1	2	4	1
2009-06-26	Friday	MjAwOTEwMjkwMjAzMTk=	2	4	3	0	2
2009-07-03	Friday	MjAwOTEwMjkwMjAzMTk=	1	1	3	1	1
2009-07-10	Friday	MjAwOTEwMjkwMjAzMTk=	0	0	0	3	2
2009-07-17	Friday	MjAwOTEwMjkwMjAzMTk=	2	1	2	1	2
2009-07-24	Friday	MjAwOTEwMjkwMjAzMTk=	0	3	4	2	2
2009-07-31	Friday	MjAwOTEwMjkwMjAzMTk=	2	1	2	5	2
2009-08-07	Friday	MjAwOTEwMjkwMjAzMTk=	4	1	6	3	4
2009-08-14	Friday	MjAwOTEwMjkwMjAzMTk=	0	0	2	2	1
2009-08-21	Friday	MjAwOTEwMjkwMjAzMTk=	3	4	1	1	1
2009-08-28	Friday	MjAwOTEwMjkwMjAzMTk=	4	4	2	1	1
2009-09-04	Friday	MjAwOTEwMjkwMjAzMTk=	0	4	2	1	0
2009-09-11	Friday	MjAwOTEwMjkwMjAzMTk=	2	1	1	3	0
2009-09-18	Friday	MjAwOTEwMjkwMjAzMTk=	2	0	1	3	2
2009-09-25	Friday	MjAwOTEwMjkwMjAzMTk=	4	2	2	2	3
2009-10-02	Friday	MjAwOTEwMjkwMjAzMTk=	2	0	1	0	3
2009-10-09	Friday	MjAwOTEwMjkwMjAzMTk=	1	0	1	2	1
2009-10-16	Friday	MjAwOTEwMjkwMjAzMTk=	3	1	2	2	3
2009-10-23	Friday	MjAwOTEwMjkwMjAzMTk=	1	4	2	4	2
2009-10-30	Friday	MjAwOTEwMjkwMjAzMTk=	3	3	3	3	6
2009-11-06	Friday	MjAwOTEwMjkwMjAzMTk=	2	2	2	2	5
2009-11-13	Friday	MjAwOTEwMjkwMjAzMTk=	0	0	0	1	3
2009-11-20	Friday	MjAwOTEwMjkwMjAzMTk=	0	1	4	0	0
2009-11-27	Friday	MjAwOTEwMjkwMjAzMTk=	1	0	0	0	1
2009-12-04	Friday	MjAwOTEwMjkwMjAzMTk=	2	0	3	2	1
2009-12-11	Friday	MjAwOTEwMjkwMjAzMTk=	3	3	0	2	1
2009-12-18	Friday	MjAwOTEwMjkwMjAzMTk=	0	1	2	1	4
2009-01-02	Friday	MjAwOTEyMTEwMTMyMjE=	0	0	1	1	1
2009-01-09	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	2	2	2
2009-01-16	Friday	MjAwOTEyMTEwMTMyMjE=	0	1	2	2	3
2009-01-23	Friday	MjAwOTEyMTEwMTMyMjE=	3	2	2	1	4
2009-01-30	Friday	MjAwOTEyMTEwMTMyMjE=	0	3	2	3	2
2009-02-06	Friday	MjAwOTEyMTEwMTMyMjE=	6	1	1	2	2
2009-02-13	Friday	MjAwOTEyMTEwMTMyMjE=	3	1	3	4	1
2009-02-20	Friday	MjAwOTEyMTEwMTMyMjE=	3	5	2	3	1
2009-02-27	Friday	MjAwOTEyMTEwMTMyMjE=	2	5	1	3	2
2009-03-06	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	2	2	1
2009-03-13	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	4	0	2
2009-03-20	Friday	MjAwOTEyMTEwMTMyMjE=	4	0	2	3	1
2009-03-27	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	1	2	4
2009-04-03	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	0	0	1
2009-04-17	Friday	MjAwOTEyMTEwMTMyMjE=	3	2	1	7	0
2009-04-24	Friday	MjAwOTEyMTEwMTMyMjE=	3	3	3	2	2
2009-05-01	Friday	MjAwOTEyMTEwMTMyMjE=	1	2	2	2	4
2009-05-08	Friday	MjAwOTEyMTEwMTMyMjE=	3	2	4	1	6
2009-05-15	Friday	MjAwOTEyMTEwMTMyMjE=	6	1	4	3	4
2009-05-22	Friday	MjAwOTEyMTEwMTMyMjE=	0	1	1	1	3
2009-05-29	Friday	MjAwOTEyMTEwMTMyMjE=	2	8	1	0	3
2009-06-05	Friday	MjAwOTEyMTEwMTMyMjE=	0	0	1	4	3
2009-06-12	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	3	1	4
2009-06-19	Friday	MjAwOTEyMTEwMTMyMjE=	1	3	2	2	2
2009-06-26	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	8	1	5
2009-07-03	Friday	MjAwOTEyMTEwMTMyMjE=	1	3	0	0	0
2009-07-10	Friday	MjAwOTEyMTEwMTMyMjE=	3	4	1	4	2
2009-07-17	Friday	MjAwOTEyMTEwMTMyMjE=	0	1	3	2	0
2009-07-24	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	2	0	2
2009-07-31	Friday	MjAwOTEyMTEwMTMyMjE=	4	4	3	4	3
2009-08-07	Friday	MjAwOTEyMTEwMTMyMjE=	3	1	4	1	1
2009-08-14	Friday	MjAwOTEyMTEwMTMyMjE=	4	5	2	1	1
2009-08-21	Friday	MjAwOTEyMTEwMTMyMjE=	0	0	5	3	2
2009-08-28	Friday	MjAwOTEyMTEwMTMyMjE=	4	3	3	1	4
2009-09-04	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	1	1	0
2009-09-11	Friday	MjAwOTEyMTEwMTMyMjE=	3	1	4	2	2
2009-09-18	Friday	MjAwOTEyMTEwMTMyMjE=	0	2	2	2	0
2009-09-25	Friday	MjAwOTEyMTEwMTMyMjE=	2	2	0	4	3
2009-10-02	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	4	1	1
2009-10-09	Friday	MjAwOTEyMTEwMTMyMjE=	1	1	0	2	1
2009-10-16	Friday	MjAwOTEyMTEwMTMyMjE=	3	0	1	3	3
2009-10-23	Friday	MjAwOTEyMTEwMTMyMjE=	4	0	2	1	1
2009-10-30	Friday	MjAwOTEyMTEwMTMyMjE=	3	4	2	2	4
2009-11-06	Friday	MjAwOTEyMTEwMTMyMjE=	2	3	2	1	2
2009-11-13	Friday	MjAwOTEyMTEwMTMyMjE=	3	2	0	2	2
2009-11-20	Friday	MjAwOTEyMTEwMTMyMjE=	2	1	0	2	0
2009-11-27	Friday	MjAwOTEyMTEwMTMyMjE=	0	0	1	0	1
2009-12-04	Friday	MjAwOTEyMTEwMTMyMjE=	3	4	1	5	2
2009-12-11	Friday	MjAwOTEyMTEwMTMyMjE=	3	2	3	0	1
2009-12-18	Friday	MjAwOTEyMTEwMTMyMjE=	2	2	0	1	1
2009-12-25	Friday	MjAwOTEyMTEwMTMyMjE=	0	0	1	0	1
2009-01-02	Friday	MjAwOTEwMTkwMTEzNDk=	0	2	0	1	2
2009-01-09	Friday	MjAwOTEwMTkwMTEzNDk=	1	0	1	1	1
2009-01-16	Friday	MjAwOTEwMTkwMTEzNDk=	2	1	2	3	3
2009-01-23	Friday	MjAwOTEwMTkwMTEzNDk=	2	1	0	1	4
2009-01-30	Friday	MjAwOTEwMTkwMTEzNDk=	4	2	3	2	3
2009-02-06	Friday	MjAwOTEwMTkwMTEzNDk=	4	4	1	4	6
2009-02-13	Friday	MjAwOTEwMTkwMTEzNDk=	6	3	2	1	3
2009-02-20	Friday	MjAwOTEwMTkwMTEzNDk=	4	4	3	1	5
2009-02-27	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	1	1	3
2009-03-06	Friday	MjAwOTEwMTkwMTEzNDk=	2	0	0	1	0
2009-03-13	Friday	MjAwOTEwMTkwMTEzNDk=	1	1	4	3	2
2009-03-20	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	0	3	3
2009-03-27	Friday	MjAwOTEwMTkwMTEzNDk=	1	1	1	2	0
2009-04-03	Friday	MjAwOTEwMTkwMTEzNDk=	3	3	1	4	2
2009-04-10	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	0	1	2
2009-04-17	Friday	MjAwOTEwMTkwMTEzNDk=	1	2	3	2	2
2009-04-24	Friday	MjAwOTEwMTkwMTEzNDk=	2	5	1	3	4
2009-05-01	Friday	MjAwOTEwMTkwMTEzNDk=	4	1	1	2	0
2009-05-08	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	1	2	2
2009-05-15	Friday	MjAwOTEwMTkwMTEzNDk=	1	5	5	4	3
2009-05-22	Friday	MjAwOTEwMTkwMTEzNDk=	2	2	3	2	2
2009-05-29	Friday	MjAwOTEwMTkwMTEzNDk=	0	0	0	1	4
2009-06-05	Friday	MjAwOTEwMTkwMTEzNDk=	2	2	2	2	3
2009-06-12	Friday	MjAwOTEwMTkwMTEzNDk=	1	3	4	2	2
2009-06-19	Friday	MjAwOTEwMTkwMTEzNDk=	1	4	2	1	2
2009-06-26	Friday	MjAwOTEwMTkwMTEzNDk=	5	2	2	3	7
2009-07-03	Friday	MjAwOTEwMTkwMTEzNDk=	2	2	2	1	2
2009-07-10	Friday	MjAwOTEwMTkwMTEzNDk=	3	1	1	0	1
2009-07-17	Friday	MjAwOTEwMTkwMTEzNDk=	3	3	1	4	1
2009-07-24	Friday	MjAwOTEwMTkwMTEzNDk=	4	0	2	1	3
2009-07-31	Friday	MjAwOTEwMTkwMTEzNDk=	3	3	3	6	3
2009-08-07	Friday	MjAwOTEwMTkwMTEzNDk=	2	4	2	1	1
2009-08-14	Friday	MjAwOTEwMTkwMTEzNDk=	3	1	3	6	0
2009-08-21	Friday	MjAwOTEwMTkwMTEzNDk=	2	4	2	2	1
2009-08-28	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	3	1	1
2009-09-04	Friday	MjAwOTEwMTkwMTEzNDk=	1	2	3	2	3
2009-09-11	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	3	3	1
2009-09-18	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	4	1	2
2009-09-25	Friday	MjAwOTEwMTkwMTEzNDk=	2	1	3	1	3
2009-10-02	Friday	MjAwOTEwMTkwMTEzNDk=	1	3	1	3	0
2009-10-09	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	1	2	2
2009-10-16	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	0	5	1
2009-10-23	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	1	1	1
2009-10-30	Friday	MjAwOTEwMTkwMTEzNDk=	3	5	2	4	1
2009-11-06	Friday	MjAwOTEwMTkwMTEzNDk=	1	0	1	4	4
2009-11-13	Friday	MjAwOTEwMTkwMTEzNDk=	2	1	1	1	0
2009-11-20	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	1	1	1
2009-11-27	Friday	MjAwOTEwMTkwMTEzNDk=	0	1	0	2	2
2009-12-04	Friday	MjAwOTEwMTkwMTEzNDk=	0	3	2	5	1
2009-12-11	Friday	MjAwOTEwMTkwMTEzNDk=	3	2	1	0	5
2009-12-18	Friday	MjAwOTEwMTkwMTEzNDk=	5	1	2	0	1
2009-12-25	Friday	MjAwOTEwMTkwMTEzNDk=	1	0	0	0	0
2009-01-09	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	0	1	0
2009-01-16	Friday	MjAwOTA4MTYwMDM3MDk=	3	3	1	2	0
2009-01-23	Friday	MjAwOTA4MTYwMDM3MDk=	1	2	3	4	4
2009-01-30	Friday	MjAwOTA4MTYwMDM3MDk=	3	1	4	3	5
2009-02-06	Friday	MjAwOTA4MTYwMDM3MDk=	1	3	1	3	2
2009-02-13	Friday	MjAwOTA4MTYwMDM3MDk=	4	6	3	2	3
2009-02-20	Friday	MjAwOTA4MTYwMDM3MDk=	5	1	4	4	4
2009-02-27	Friday	MjAwOTA4MTYwMDM3MDk=	2	5	1	1	5
2009-03-06	Friday	MjAwOTA4MTYwMDM3MDk=	3	5	3	1	3
2009-03-13	Friday	MjAwOTA4MTYwMDM3MDk=	1	5	0	1	4
2009-03-20	Friday	MjAwOTA4MTYwMDM3MDk=	3	2	1	4	3
2009-03-27	Friday	MjAwOTA4MTYwMDM3MDk=	1	4	2	3	3
2009-04-03	Friday	MjAwOTA4MTYwMDM3MDk=	0	3	2	3	3
2009-04-10	Friday	MjAwOTA4MTYwMDM3MDk=	0	0	1	1	0
2009-04-17	Friday	MjAwOTA4MTYwMDM3MDk=	2	0	0	3	2
2009-04-24	Friday	MjAwOTA4MTYwMDM3MDk=	5	0	3	2	4
2009-05-01	Friday	MjAwOTA4MTYwMDM3MDk=	2	4	2	0	1
2009-05-08	Friday	MjAwOTA4MTYwMDM3MDk=	5	6	3	5	4
2009-05-15	Friday	MjAwOTA4MTYwMDM3MDk=	1	1	8	7	5
2009-05-22	Friday	MjAwOTA4MTYwMDM3MDk=	3	1	0	2	3
2009-05-29	Friday	MjAwOTA4MTYwMDM3MDk=	3	3	2	1	1
2009-06-05	Friday	MjAwOTA4MTYwMDM3MDk=	3	4	2	3	3
2009-06-12	Friday	MjAwOTA4MTYwMDM3MDk=	2	2	4	1	2
2009-06-19	Friday	MjAwOTA4MTYwMDM3MDk=	1	4	1	6	1
